[2025-12-31T17:50:03.887+08:00] resRect { left: 31, top: 487, width: 298, height: 49 }
[2025-12-31T17:50:13.743+08:00] resRect { left: 129, top: 715, width: 217, height: 46 }
[2025-12-31T17:50:20.809+08:00] resRect { left: 204, top: 643, width: 53, height: 51 }
[2025-12-31T17:50:31.524+08:00] resRect { left: 37, top: 729, width: 257, height: 21 }
[2025-12-31T17:54:18.975+08:00] resRect { left: 273, top: 164, width: 66, height: 82 }
[2025-12-31T17:54:27.091+08:00] resRect { left: 48, top: 514, width: 262, height: 48 }
[2025-12-31T17:54:44.361+08:00] resRect { left: 93, top: 640, width: 171, height: 54 }
[2025-12-31T17:54:51.250+08:00] resRect { left: 122, top: 714, width: 219, height: 44 }
[2025-12-31T17:54:57.312+08:00] resRect { left: 122, top: 620, width: 113, height: 27 }
[2025-12-31T17:55:11.471+08:00] resRect { left: 273, top: 687, width: 73, height: 30 }
[2025-12-31T17:55:28.754+08:00] resRect { left: 31, top: 327, width: 297, height: 37 }
[2025-12-31T17:55:39.957+08:00] resRect { left: 31, top: 417, width: 299, height: 28 }
[2025-12-31T17:55:50.598+08:00] resRect { left: 30, top: 405, width: 298, height: 43 }
[2025-12-31T17:56:00.309+08:00] resRect { left: 31, top: 487, width: 298, height: 49 }
[2025-12-31T17:56:10.686+08:00] resRect { left: 129, top: 715, width: 217, height: 42 }
[2025-12-31T17:56:17.987+08:00] resRect { left: 205, top: 643, width: 52, height: 56 }
[2025-12-31T17:56:29.066+08:00] resRect { left: 162, top: 484, width: 35, height: 41 }
[2025-12-31T17:58:56.328+08:00] resRect { left: 273, top: 168, width: 66, height: 82 }
[2025-12-31T17:59:04.728+08:00] resRect { left: 47, top: 514, width: 263, height: 51 }
[2025-12-31T17:59:21.982+08:00] resRect { left: 90, top: 640, width: 174, height: 54 }
[2025-12-31T17:59:28.838+08:00] resRect { left: 122, top: 718, width: 219, height: 39 }
[2025-12-31T17:59:35.090+08:00] resRect { left: 122, top: 625, width: 113, height: 29 }
[2025-12-31T17:59:48.061+08:00] resRect { left: 273, top: 687, width: 73, height: 30 }
[2025-12-31T18:00:22.793+08:00] resRect { left: 37, top: 729, width: 257, height: 21 }
[2025-12-31T18:01:20.977+08:00] resRect { left: 276, top: 168, width: 63, height: 81 }
[2025-12-31T18:01:29.434+08:00] resRect { left: 48, top: 514, width: 262, height: 48 }
[2025-12-31T18:01:48.879+08:00] resRect { left: 93, top: 640, width: 171, height: 53 }
[2025-12-31T18:01:55.790+08:00] resRect { left: 122, top: 717, width: 219, height: 41 }
[2025-12-31T18:02:02.286+08:00] resRect { left: 122, top: 628, width: 115, height: 21 }
[2025-12-31T18:02:15.510+08:00] resRect { left: 273, top: 687, width: 73, height: 26 }
[2025-12-31T18:02:32.388+08:00] resRect { left: 31, top: 300, width: 297, height: 64 }
[2025-12-31T18:03:03.440+08:00] resRect { left: 129, top: 715, width: 217, height: 43 }
[2026-01-04T09:38:44.514+08:00] resRect { left: 280, top: 168, width: 61, height: 73 }
[2026-01-04T09:38:52.691+08:00] resRect { left: 47, top: 514, width: 263, height: 48 }
[2026-01-04T09:39:09.691+08:00] resRect { left: 93, top: 640, width: 171, height: 54 }
[2026-01-04T09:39:16.629+08:00] resRect { left: 122, top: 715, width: 219, height: 43 }
[2026-01-04T09:39:22.676+08:00] resRect { left: 122, top: 625, width: 115, height: 30 }
[2026-01-04T09:39:34.400+08:00] resRect { left: 273, top: 687, width: 73, height: 30 }
[2026-01-04T09:39:51.302+08:00] resRect { left: 30, top: 327, width: 298, height: 40 }
